ax,ay,az,wx,wy,wz,q_w,q_x,q_y,q_z,psi,theta,phi
-0.58,0.05,6.88,0.07,-0.05,-0.01,1.0,4e-05,5e-05,-1e-05,-0.0011456864081365837,0.00572962379748137,0.00458360507382338
-0.61,0.07,6.87,0.07,-0.05,-0.0,1.0,8e-05,0.0001,-1e-05,-0.0011449988618735104,0.011459247652259894,0.009167210201734766
-0.61,0.08,6.88,0.07,-0.05,0.0,1.0,0.00012,0.00015,-1e-05,-0.0011438529514268044,0.017188871621632733,0.013750815437822165
-0.59,0.08,6.89,0.06,-0.05,0.0,1.0,0.00016,0.0002,-1e-05,-0.0011422486767840886,0.022918495762897065,0.01833442083617358
-0.61,0.06,6.88,0.06,-0.05,0.0,1.0,0.0002,0.00025,-1e-05,-0.0011401860379280345,0.028648120133350066,0.02291802645087701
-0.6,0.05,6.89,0.06,-0.05,0.01,1.0,0.00024,0.0003,-1e-05,-0.001137665034836364,0.034377744790288954,0.027501632336020466
-0.61,0.04,6.89,0.06,-0.04,0.02,1.0,0.00027,0.00036,-0.0,1.1138300168884683e-05,0.04125296481367596,0.03093972419501704
-0.59,0.04,6.9,0.06,-0.04,0.02,1.0,0.0003,0.00042,1e-05,0.0011603542269109468,0.04812811667609888,0.034377954021775764
-0.58,-0.02,6.91,0.05,-0.04,0.03,1.0,0.00032,0.00048,2e-05,0.002309432739270187,0.055003223394853286,0.036670406149548036
-0.63,-0.4,6.99,0.05,-0.02,0.03,1.0,0.0003,0.00053,3e-05,0.0034559674873334257,0.0607325063326274,0.03437929830802404
-0.57,-0.21,6.98,0.04,0.03,0.01,1.0,0.00029,0.00062,3e-05,0.00345835137055336,0.07104578785582276,0.03323369533357708
-0.59,-0.06,6.93,0.04,0.05,0.03,1.0,0.0003,0.00072,4e-05,0.004608416109477409,0.08250457591277797,0.03438078468052105
-0.58,0.06,6.9,0.03,0.05,0.05,1.0,0.00032,0.00082,6e-05,0.006905566294253876,0.09396292036202646,0.03667496006790824
-0.61,0.01,6.92,0.03,0.05,0.06,1.0,0.00034,0.00092,9e-05,0.01034909208641379,0.10542078728390156,0.038970649414478774
-0.61,-0.07,6.9,0.03,0.05,0.08,1.0,0.00035,0.00102,0.00013,0.014937825485402454,0.11687825735037487,0.04012227992173844
-0.61,-0.19,6.88,0.02,0.05,0.09,1.0,0.00034,0.00112,0.00017,0.019524223542852482,0.12833603002941227,0.03898299456651086
-0.63,-0.07,6.86,0.01,0.04,0.11,1.0,0.00034,0.00122,0.00022,0.02525770982457879,0.13979326925873217,0.03899194107974328
-0.66,-0.08,6.87,0.0,0.04,0.12,1.0,0.00033,0.00131,0.00028,0.03213522525584045,0.1501045257699152,0.03785730727494149
-0.66,-0.0,6.88,-0.0,0.02,0.12,1.0,0.00033,0.0014,0.00034,0.039014142068535054,0.16041553504020958,0.037869828517283245
-0.66,-0.05,6.86,-0.01,0.01,0.12,1.0,0.00032,0.00148,0.0004,0.04589098752246626,0.16958108723055976,0.036737210409998736
-0.65,0.02,6.87,-0.01,-0.0,0.11,1.0,0.00032,0.00156,0.00045,0.051623522497233745,0.17874662084209855,0.03674982287889496
-0.64,-0.08,6.87,-0.01,-0.01,0.1,1.0,0.0003,0.00163,0.0005,0.05735195718539466,0.18676738323374717,0.03447094173992157
-0.65,-0.21,6.88,-0.01,-0.01,0.09,1.0,0.00027,0.0017,0.00054,0.061932207808114356,0.19478931812611772,0.031044995880612106
