ax,ay,az,wx,wy,wz,q_w,q_x,q_y,q_z,psi,theta,phi
-1.12,5.16,3.06,-0.88,0.36,-0.67,1.0,-0.0011,0.00059,-0.00101,-0.11581170513793154,0.0674817242047014,-0.12611886419862764
-1.19,5.14,3.1,-0.89,0.32,-0.72,1.0,-0.00221,0.00112,-0.00209,-0.23977877263645866,0.12781336516374261,-0.25351437577822244
-1.3,5.09,3.16,-0.91,0.3,-0.74,0.99999,-0.00336,0.00163,-0.0032,-0.36731982148257636,0.18555060926004324,-0.3856248166785951
-1.47,5.02,3.24,-0.93,0.28,-0.75,0.99998,-0.00454,0.00211,-0.00432,-0.4961320395667192,0.23953659023283302,-0.5212896028402049
-1.61,4.96,3.31,-0.97,0.26,-0.77,0.99997,-0.00578,0.00257,-0.00547,-0.6285136948506698,0.29086972559426816,-0.663947076227909
-1.75,4.84,3.39,-1.04,0.24,-0.8,0.99995,-0.00713,0.00301,-0.00667,-0.7667797465140739,0.33945569028278616,-0.8193362925936661
-1.82,4.78,3.46,-1.1,0.22,-0.84,0.99993,-0.00857,0.00342,-0.00793,-0.9120577490850674,0.384090921606331,-0.9851514729404891
-1.89,4.72,3.58,-1.18,0.21,-0.89,0.9999,-0.01013,0.00382,-0.00926,-1.0655338671078276,0.42695080908158495,-1.1648590089660267
-1.94,4.65,3.69,-1.27,0.2,-0.95,0.99986,-0.01183,0.00421,-0.01068,-1.2295191581389062,0.46789012182811224,-1.3607652219163282
-1.96,4.49,3.81,-1.41,0.18,-1.04,0.99982,-0.01374,0.00457,-0.01223,-1.4085953862185832,0.5043396860884152,-1.5808722147072702
-1.98,4.33,3.9,-1.53,0.16,-1.11,0.99976,-0.01583,0.0049,-0.01389,-1.6004813397755462,0.5361754622105968,-1.8217575408786775
-1.95,4.22,3.92,-1.66,0.14,-1.19,0.99969,-0.01812,0.0052,-0.01566,-1.805165437582519,0.5631840450809928,-2.085688352616088
-1.92,4.18,3.95,-1.79,0.11,-1.27,0.99961,-0.0206,0.00546,-0.01755,-2.023747977015588,0.5840077271468149,-2.3714881166949575
-1.89,4.18,3.97,-1.96,0.07,-1.37,0.99951,-0.02334,0.00566,-0.01959,-2.2596379797532045,0.5958863907278358,-2.687144125706142
-1.91,4.16,3.97,-2.07,0.04,-1.43,0.99939,-0.02624,0.00582,-0.02171,-2.5047657052975283,0.601247666032021,-3.0211714795590283
-1.89,4.14,3.97,-2.15,0.01,-1.48,0.99925,-0.02927,0.00593,-0.02391,-2.7590347280283014,0.5988327915182498,-3.370074477065451
-1.87,4.07,3.96,-2.19,-0.03,-1.52,0.99909,-0.03236,0.00598,-0.02616,-3.018874123714995,0.5876381775015453,-3.7257489228043386
-1.82,3.98,4.0,-2.2,-0.07,-1.55,0.99892,-0.03546,0.00597,-0.02846,-3.284154579445747,0.5677372186434401,-4.08237920017656
-1.8,3.91,4.05,-2.18,-0.1,-1.54,0.99873,-0.03853,0.00591,-0.03074,-3.546849644195242,0.5406604071629766,-4.435377231137158
