a_x_int,a_y_int,a_z_int,w_x_int,w_y_int,w_z_int,q_w_int,q_x_int,q_y_int,q_z_int,a_x,a_y,a_z,w_x,w_y,w_z,q_w,q_x,q_y,q_z,psi,theta,phi,q_w_ref,q_x_ref,q_y_ref,q_z_ref,psi_ref,theta_ref,phi_ref
-72,330,196,-225,92,-172,16384,65518,10,65519,-0.00439453125,0.0201416015625,0.011962890625,-0.01373291015625,0.005615234375,-0.010498046875,1.0,-0.0010986328125,0.0006103515625,-0.00103759765625,-0.11897663050014616,0.06981052700599161,-0.1259664779372599,1.0,0.000200914466,5.6753146e-05,-1.5747071e-05,-0.0018031747153944041,0.006503794040166662,0.02302299923852242
-76,329,198,-228,82,-184,16384,65500,19,65501,-0.004638671875,0.02008056640625,0.0120849609375,-0.013916015625,0.0050048828125,-0.01123046875,1.0,-0.002197265625,0.00115966796875,-0.00213623046875,-0.24508474040710346,0.1323504007953582,-0.25207075265389967,1.0,0.000400948455,0.000115288385,-3.2587795e-05,-0.003728988722641779,0.013212573148157228,0.04594487612779032
-83,326,202,-233,77,-189,16384,65481,27,65483,-0.00506591796875,0.0198974609375,0.0123291015625,-0.01422119140625,0.00469970703125,-0.01153564453125,1.0,-0.00335693359375,0.00164794921875,-0.00323486328125,-0.37131746470600463,0.18759703026544128,-0.3852826780944457,1.000000119209,0.000599333143,0.000178274873,-4.9883074e-05,-0.005703933013661124,0.02043222439627724,0.06867748578424294
-94,321,207,-238,72,-192,16384,65462,35,65465,-0.0057373046875,0.01959228515625,0.01263427734375,-0.0145263671875,0.00439453125,-0.01171875,1.0,-0.0045166015625,0.00213623046875,-0.00433349609375,-0.49767665831893587,0.24255184094857396,-0.518614271648181,1.000000238419,0.000795131607,0.000248583907,-6.7452762e-05,-0.007706861103639906,0.028491771401110304,0.09111341333809564
-103,317,212,-248,67,-197,16384,65442,43,65446,-0.00628662109375,0.01934814453125,0.012939453125,-0.01513671875,0.00408935546875,-0.01202392578125,1.0,-0.0057373046875,0.00262451171875,-0.0054931640625,-0.6311727946974813,0.2971367589116683,-0.6590760166519072,1.000000476837,0.000988054438,0.000324783905,-8.5480242e-05,-0.009758528130427371,0.03722719269019216,0.11321943738740892
-112,310,217,-266,61,-205,16384,65420,50,65426,-0.0068359375,0.0189208984375,0.01324462890625,-0.0162353515625,0.00372314453125,-0.01251220703125,1.0,-0.007080078125,0.0030517578125,-0.0067138671875,-0.7717850585249292,0.34426068104633567,-0.8136220625171331,1.000000715256,0.001176933991,0.000407419138,-0.000104242004,-0.011890283476140058,0.046700891539753375,0.13486169638674675
-116,306,221,-282,56,-215,16384,65396,57,65405,-0.007080078125,0.0186767578125,0.01348876953125,-0.0172119140625,0.00341796875,-0.01312255859375,1.0,-0.008544921875,0.00347900390625,-0.00799560546875,-0.9195592659992011,0.390838408196724,-0.9822880494199193,1.000001072884,0.001363115967,0.000492927327,-0.000123917533,-0.014122869319289477,0.056504736763840865,0.15619435554783753
-121,302,229,-302,54,-228,16384,65370,64,65383,-0.00738525390625,0.0184326171875,0.01397705078125,-0.0184326171875,0.0032958984375,-0.013916015625,1.0,-0.0101318359375,0.00390625,-0.00933837890625,-1.074508452560561,0.4367854365580537,-1.165078124079587,1.000001430511,0.001545922481,0.000582215143,-0.000144782432,-0.016487648021428807,0.06674269961834108,0.17713966968424708
-124,298,236,-325,51,-243,16384,65342,70,65360,-0.007568359375,0.0181884765625,0.014404296875,-0.01983642578125,0.00311279296875,-0.01483154296875,1.0,-0.0118408203125,0.0042724609375,-0.0107421875,-1.2365610008056835,0.475017777679958,-1.3619194084664068,1.000001788139,0.001725486713,0.000674011942,-0.00016701805,-0.019005507042390325,0.07726926461331711,0.19771284737676892
-125,287,244,-361,46,-266,16383,65310,76,65335,-0.00762939453125,0.01751708984375,0.014892578125,-0.02203369140625,0.0028076171875,-0.0162353515625,0.99993896484375,-0.0137939453125,0.004638671875,-0.01226806640625,-1.4129234934032897,0.5121352572921113,-1.5869794368084131,1.000002264977,0.001900290139,0.000768792583,-0.000191357729,-0.021760455495218572,0.08813904447912313,0.21773971721302252
