a_x_int,a_y_int,a_z_int,w_x_int,w_y_int,w_z_int,q_w_int,q_x_int,q_y_int,q_z_int,a_x,a_y,a_z,w_x,w_y,w_z,q_w,q_x,q_y,q_z,psi,theta,phi,q_w_ref,q_x_ref,q_y_ref,q_z_ref,psi_ref,theta_ref,phi_ref,psi_err,theta_err,phi_err,q_w_err,q_x_err,q_y_err,q_z_err
-72,330,196,-225,92,-172,16384,65518,10,65519,-1.125,5.15625,3.0625,-0.87890625,0.359375,-0.671875,1.0,-0.0010986328125,0.0006103515625,-0.00103759765625,-0.11897663050014616,0.06981052700599161,-0.1259664779372599,1.0,-0.001096845488,0.000587392773,-0.001007812447,-0.11556048997578784,0.06718359783928822,-0.1257569356034201,0.0034161405243583187,0.0026269291667033873,0.00020954233383979615,0.0,1.7873245000000603e-06,2.2958789499999996e-05,2.9785209249999977e-05
-76,329,198,-228,82,-184,16384,65500,19,65501,-1.1875,5.140625,3.09375,-0.890625,0.3203125,-0.71875,1.0,-0.002197265625,0.00115966796875,-0.00213623046875,-0.24508474040710346,0.1323504007953582,-0.25207075265389967,0.999996960163,-0.002211924875,0.00111862109,-0.00208549411,-0.23926306275295306,0.12765564476305877,-0.2537348167287172,0.005821677654150398,0.004694756032299435,0.0016640640748175617,3.039837000007317e-06,1.4659250000000068e-05,4.1046878749999944e-05,5.07363587500002e-05
-83,326,202,-233,77,-189,16384,65481,27,65483,-1.296875,5.09375,3.15625,-0.91015625,0.30078125,-0.73828125,1.0,-0.00335693359375,0.00164794921875,-0.00323486328125,-0.37131746470600463,0.18759703026544128,-0.3852826780944457,0.999990701675,-0.003357514273,0.001625242177,-0.003192014759,-0.36640223658328047,0.1850095199697277,-0.3853364870523838,0.004915228122724158,0.00258751029571358,5.380895793810625e-05,9.298324999962304e-06,5.806792500000213e-07,2.2707041750000007e-05,4.2848522250000035e-05
-94,321,207,-238,72,-192,16384,65462,35,65465,-1.46875,5.015625,3.234375,-0.9296875,0.28125,-0.75,1.0,-0.0045166015625,0.00213623046875,-0.00433349609375,-0.49767665831893587,0.24255184094857396,-0.518614271648181,0.999981105328,-0.004534533247,0.002110138768,-0.004315588623,-0.49562476680859635,0.23955775748742983,-0.5206616140549405,0.0020518915103395208,0.0029940834611441314,0.0020473424067595225,1.889467200000272e-05,1.793168449999976e-05,2.6091700749999915e-05,1.790747074999991e-05
-103,317,212,-248,67,-197,16384,65442,43,65446,-1.609375,4.953125,3.3125,-0.96875,0.26171875,-0.76953125,1.0,-0.0057373046875,0.00262451171875,-0.0054931640625,-0.6311727946974813,0.2971367589116683,-0.6590760166519072,0.999967873096,-0.005772151519,0.002571948338,-0.00546780834,-0.6282629364020905,0.29109872729318276,-0.6630497424158266,0.0029098582953908103,0.00603803161848554,0.003973725763919411,3.212690400000717e-05,3.4846831499999766e-05,5.2563380749999934e-05,2.5355722500000274e-05
-112,310,217,-266,61,-205,16384,65420,50,65426,-1.75,4.84375,3.390625,-1.0390625,0.23828125,-0.80078125,1.0,-0.007080078125,0.0030517578125,-0.0067138671875,-0.7717850585249292,0.34426068104633567,-0.8136220625171331,0.999950349331,-0.007117752917,0.00300559937,-0.006666008849,-0.7663144431754876,0.3389641682257982,-0.817927929888805,0.005470615349441599,0.005296512820537447,0.004305867371671934,4.965066899997872e-05,3.7674792e-05,4.6158442499999886e-05,4.785833850000018e-05
-116,306,221,-282,56,-215,16384,65396,57,65405,-1.8125,4.78125,3.453125,-1.1015625,0.21875,-0.83984375,1.0,-0.008544921875,0.00347900390625,-0.00799560546875,-0.9195592659992011,0.390838408196724,-0.9822880494199193,0.999927937984,-0.008558531292,0.00341319479,-0.007921881042,-0.9111182916777276,0.38332871726719214,-0.9838300868265774,0.008440974321473504,0.007509690929531854,0.0015420374066580367,7.206201599996298e-05,1.3609416999999999e-05,6.580911625000008e-05,7.372442675000063e-05
-121,302,229,-302,54,-228,16384,65370,64,65383,-1.890625,4.71875,3.578125,-1.1796875,0.2109375,-0.890625,1.0,-0.0101318359375,0.00390625,-0.00933837890625,-1.074508452560561,0.4367854365580537,-1.165078124079587,0.999899566174,-0.010118157603,0.003812954994,-0.009252963588,-1.0647149263547593,0.4261641048211604,-1.1634921204141155,0.009793526205801761,0.01062133173689328,0.0015860036654715692,0.0001004338260000015,1.3678334500000222e-05,9.329500600000016e-05,8.541531824999941e-05
-124,298,236,-325,51,-243,16384,65342,70,65360,-1.9375,4.65625,3.6875,-1.26953125,0.19921875,-0.94921875,1.0,-0.0118408203125,0.0042724609375,-0.0107421875,-1.2365610008056835,0.475017777679958,-1.3619194084664068,0.999864161015,-0.011813925579,0.004197890405,-0.010670750402,-1.2284304012294016,0.466536809732608,-1.3588986018580627,0.008130599576281927,0.008480967947349982,0.00302080660834414,0.00013583898500002523,2.689473349999985e-05,7.457053250000019e-05,7.143709799999932e-05
-125,287,244,-361,46,-266,16383,65310,76,65335,-1.953125,4.484375,3.8125,-1.41015625,0.1796875,-1.0390625,0.99993896484375,-0.0137939453125,0.004638671875,-0.01226806640625,-1.4129234934032897,0.5121352572921113,-1.5869794368084131,0.999819278717,-0.013722605072,0.004557120614,-0.012221521698,-1.4075961548664686,0.5029013608910896,-1.5788580006227668,0.005327338536821102,0.00923389640102168,0.008121436185646314,0.0001196861267499516,7.134024049999972e-05,8.155126100000028e-05,4.654470824999937e-05
