a_x_int,a_y_int,a_z_int,w_x_int,w_y_int,w_z_int,q_w_int,q_x_int,q_y_int,q_z_int,a_x,a_y,a_z,w_x,w_y,w_z,q_w,q_x,q_y,q_z,psi,theta,phi,q_w_ref,q_x_ref,q_y_ref,q_z_ref,psi_ref,theta_ref,phi_ref,psi_err,theta_err,phi_err,q_w_err,q_x_err,q_y_err,q_z_err
0,3,-179,-7,-14,-23,16384,3,65535,65534,0.0,0.046875,-2.796875,-0.02734375,-0.0546875,-0.08984375,1.0,0.00018310546875,-6.103515625e-05,-0.0001220703125,-0.013989507594198154,-0.0069915524065052945,0.020983194434838152,1.0,0.000185709301,-8.2031249e-05,-0.000134765622,-0.015444747889700959,-0.009397220844662532,0.021281984647968155,0.0014552402955028045,0.0024056684381572376,0.0002987902131300034,0.0,2.6038322500000104e-06,2.0996092749999996e-05,1.2695309499999996e-05
1,5,-282,3,10,-6,16384,7,0,65533,0.015625,0.078125,-4.40625,0.01171875,0.0390625,-0.0234375,1.0,0.00042724609375,0.0,-0.00018310546875,-0.020982337065683913,8.964623285641772e-06,0.04895879135021395,1.0,0.000425399921,-6.8985748e-05,-0.000169919309,-0.01947467777254069,-0.00789690134154492,0.04874857928372481,0.001507659293143223,0.007905865964830562,0.00021021206648914187,0.0,1.8461727500000235e-06,6.8985748e-05,1.3186159750000004e-05
4,7,-334,3,-7,-12,16384,10,65533,65532,0.0625,0.109375,-5.21875,0.01171875,-0.02734375,-0.046875,1.0,0.0006103515625,-0.00018310546875,-0.000244140625,-0.02798925139853746,-0.02096526612520197,0.06994624922806036,1.000000119209,0.000641158898,-0.000220100308,-0.000240214882,-0.027542755101280642,-0.025203992332227067,0.07347743680262953,0.00044649629725681747,0.004238726207025097,0.003531187574569161,1.1920900000461643e-07,3.080733549999995e-05,3.699483925e-05,3.925743000000013e-06
4,8,-353,27,2,-15,16384,15,65531,65531,0.0625,0.125,-5.515625,0.10546875,0.0078125,-0.05859375,1.0,0.00091552734375,-0.00030517578125,-0.00030517578125,-0.03500255788868042,-0.03493855420403179,0.10492234848315726,1.000000119209,0.001002828707,-0.000308435701,-0.000328043825,-0.03762645733204063,-0.035306436897266494,0.11492724570095408,0.0026238994433602156,0.0003678826932347057,0.010004897217796821,1.1920900000461643e-07,8.730136325000009e-05,3.259919749999988e-06,2.2868043749999986e-05
1,6,-342,27,17,-1,16384,21,65533,65531,0.015625,0.09375,-5.34375,0.10546875,0.06640625,-0.00390625,1.0,0.00128173828125,-0.00018310546875,-0.00030517578125,-0.034997405004966814,-0.020937518479843653,0.14688270199584635,1.000000119209,0.001384149538,-0.000249345263,-0.00033378278,-0.038288161273300585,-0.028519925101442124,0.15862126254594225,0.0032907562683337707,0.0075824066215984705,0.011738560550095894,1.1920900000461643e-07,0.0001024112567499999,6.623979425000003e-05,2.8606998749999997e-05
6,0,-320,19,11,21,16384,24,65531,65533,0.09375,0.0,-5.0,0.07421875,0.04296875,0.08203125,1.0,0.00146484375,-0.00030517578125,-0.00018310546875,-0.021033524135244626,-0.03493983486473928,0.16786502224709313,1.0,0.001527671819,-0.000409525644,-0.000210316313,-0.024172112333096105,-0.046891369626486004,0.1750680505472825,0.0031385881978514794,0.011951534761746721,0.007203028300189374,0.0,6.282806899999996e-05,0.00010434986275000002,2.7210844249999993e-05
9,3,-281,7,-10,20,16384,27,65527,65535,0.140625,0.046875,-4.390625,0.02734375,-0.0390625,0.078125,1.0,0.00164794921875,-0.00054931640625,-6.103515625e-05,-0.0070978300641679455,-0.06293551010244591,0.18884479745524066,1.000000119209,0.001656031585,-0.000677506847,-9.2917762e-05,-0.010776133873541992,-0.07761896609769982,0.18977434425035605,0.003678303809374047,0.014683455995253905,0.0009295467951153935,1.1920900000461643e-07,8.082366249999914e-06,0.00012819044075,3.1882605749999996e-05
8,1,-238,-6,-19,13,16384,27,65522,0,0.125,0.015625,-3.71875,-0.0234375,-0.07421875,0.05078125,1.0,0.00164794921875,-0.0008544921875,0.0,-0.00016136289874222386,-0.0979176396048356,0.18884103710821593,1.000000238419,0.001668423531,-0.001010627253,-1.6619239e-05,-0.0020976393125381842,-0.11580628158973585,0.19118915041923237,0.0019362764137959604,0.017888641984900255,0.0023481133110164476,2.3841900009813344e-07,2.0474312250000088e-05,0.0001561350654999999,1.6619239e-05
9,-2,-183,11,-24,45,16384,27,65516,4,0.140625,-0.03125,-2.859375,0.04296875,-0.09375,0.17578125,1.0,0.00164794921875,-0.001220703125,0.000244140625,0.027745901434867944,-0.13992851707713172,0.18880701864695545,1.000000119209,0.001699349261,-0.001375965192,0.000247290998,0.02806948604588808,-0.15772236975376114,0.19469223617351147,0.00032358461102013555,0.017793852676629418,0.005885217526556019,1.1920900000461643e-07,5.1400042249999996e-05,0.00015526206699999993,3.1503730000000227e-06
6,-1,-130,13,-10,69,16384,29,65511,11,0.09375,-0.015625,-2.03125,0.05078125,-0.0390625,0.26953125,1.0,0.00177001953125,-0.00152587890625,0.00067138671875,0.0766256850629733,-0.17498929169199534,0.20271207359926646,1.0,0.001755203586,-0.001661087503,0.000652004266,0.0743800542071418,-0.19047809611731373,0.20100767230037841,0.0022456308558315013,0.015488804425318387,0.0017044012988880475,0.0,1.4815945250000071e-05,0.00013520859675000005,1.9382452750000005e-05
1,2,-79,13,-1,74,16384,34,65509,18,0.015625,0.03125,-1.234375,0.05078125,-0.00390625,0.2890625,1.0,0.0020751953125,-0.00164794921875,0.0010986328125,0.12550191580470313,-0.1891026682259846,0.2375924189318298,0.999999940395,0.002029014286,-0.001777472906,0.001085577765,0.12398461326409278,-0.20393621531453404,0.2322869537894842,0.0015173025406103463,0.014833547088549448,0.005305465142345617,5.96050000467585e-08,4.618102649999985e-05,0.00012952368725000006,1.3055047499999908e-05
-3,4,-24,13,-14,24,16384,38,65510,20,-0.046875,0.0625,-0.375,0.05078125,-0.0546875,0.09375,1.0,0.0023193359375,-0.0015869140625,0.001220703125,0.13946004342085044,-0.1821716973826882,0.26555413988517634,0.999999582767,0.002289632335,-0.001728086034,0.00122557662,0.13998700737932812,-0.19834594395693325,0.26212988884441185,0.0005269639584776775,0.016174246574245044,0.003424251040764492,4.1723300003848607e-07,2.9703602499999825e-05,0.00014117197150000007,4.873495000000047e-06
