q_w_int,q_x_int,q_y_int,q_z_int,q_w_fixed,q_x_fixed,q_y_fixed,q_z_fixed
16384,65518,10,65519,1.0,-0.0010986328125,0.0006103515625,-0.00103759765625
16384,65500,19,65501,1.0,-0.002197265625,0.00115966796875,-0.00213623046875
16384,65481,27,65483,1.0,-0.00335693359375,0.00164794921875,-0.00323486328125
16384,65462,35,65465,1.0,-0.0045166015625,0.00213623046875,-0.00433349609375
16384,65442,43,65446,1.0,-0.0057373046875,0.00262451171875,-0.0054931640625
16384,65420,50,65426,1.0,-0.007080078125,0.0030517578125,-0.0067138671875
16384,65396,57,65405,1.0,-0.008544921875,0.00347900390625,-0.00799560546875
16384,65370,64,65383,1.0,-0.0101318359375,0.00390625,-0.00933837890625
16384,65342,70,65360,1.0,-0.0118408203125,0.0042724609375,-0.0107421875
16383,65310,76,65335,0.99993896484375,-0.0137939453125,0.004638671875,-0.01226806640625
16382,65275,82,65308,0.9998779296875,-0.01593017578125,0.0050048828125,-0.013916015625
16381,65237,87,65279,0.99981689453125,-0.01824951171875,0.00531005859375,-0.01568603515625
16380,65196,91,65248,0.999755859375,-0.020751953125,0.00555419921875,-0.017578125
16378,65151,94,65215,0.9996337890625,-0.02349853515625,0.0057373046875,-0.01959228515625
16376,65103,97,65180,0.99951171875,-0.02642822265625,0.00592041015625,-0.021728515625
16374,65053,99,65144,0.9993896484375,-0.02947998046875,0.00604248046875,-0.02392578125
16371,65002,100,65107,0.99920654296875,-0.0325927734375,0.006103515625,-0.02618408203125
16368,64951,100,65069,0.9990234375,-0.03570556640625,0.006103515625,-0.02850341796875
16365,64900,99,65032,0.99884033203125,-0.038818359375,0.00604248046875,-0.03076171875
16362,64851,97,64995,0.9986572265625,-0.04180908203125,0.00592041015625,-0.03302001953125
16359,64803,95,64959,0.99847412109375,-0.04473876953125,0.00579833984375,-0.03521728515625
16355,64758,92,64925,0.99822998046875,-0.0474853515625,0.005615234375,-0.03729248046875
16351,64715,88,64892,0.99798583984375,-0.05010986328125,0.00537109375,-0.039306640625
16348,64674,84,64861,0.997802734375,-0.0526123046875,0.005126953125,-0.04119873046875
16344,64635,79,64831,0.99755859375,-0.05499267578125,0.00482177734375,-0.04302978515625
16340,64597,74,64802,0.997314453125,-0.05731201171875,0.0045166015625,-0.0447998046875
16336,64560,70,64774,0.9970703125,-0.0595703125,0.0042724609375,-0.0465087890625
16332,64524,66,64747,0.996826171875,-0.061767578125,0.0040283203125,-0.04815673828125
16328,64488,62,64721,0.99658203125,-0.06396484375,0.0037841796875,-0.04974365234375
16324,64451,59,64695,0.996337890625,-0.06622314453125,0.00360107421875,-0.05133056640625
16320,64413,57,64670,0.99609375,-0.06854248046875,0.00347900390625,-0.0528564453125
16316,64374,55,64646,0.995849609375,-0.0709228515625,0.00335693359375,-0.0543212890625
16311,64333,54,64622,0.99554443359375,-0.07342529296875,0.0032958984375,-0.0557861328125
16306,64290,54,64598,0.9952392578125,-0.0760498046875,0.0032958984375,-0.0572509765625
16301,64246,54,64574,0.99493408203125,-0.0787353515625,0.0032958984375,-0.0587158203125
16295,64200,55,64550,0.99456787109375,-0.08154296875,0.00335693359375,-0.0601806640625
16290,64154,57,64526,0.9942626953125,-0.0843505859375,0.00347900390625,-0.0616455078125
16284,64109,60,64503,0.993896484375,-0.08709716796875,0.003662109375,-0.06304931640625
16279,64066,64,64481,0.99359130859375,-0.0897216796875,0.00390625,-0.06439208984375
16274,64025,68,64460,0.9932861328125,-0.09222412109375,0.004150390625,-0.065673828125
16269,63985,71,64440,0.99298095703125,-0.09466552734375,0.00433349609375,-0.06689453125
16264,63945,74,64422,0.99267578125,-0.09710693359375,0.0045166015625,-0.0679931640625
16259,63905,76,64405,0.99237060546875,-0.09954833984375,0.004638671875,-0.06903076171875
16253,63865,77,64389,0.99200439453125,-0.10198974609375,0.00469970703125,-0.07000732421875
16248,63825,78,64375,0.99169921875,-0.10443115234375,0.0047607421875,-0.07086181640625
16243,63787,78,64362,0.99139404296875,-0.10675048828125,0.0047607421875,-0.0716552734375
16238,63751,77,64350,0.9910888671875,-0.10894775390625,0.00469970703125,-0.0723876953125
16233,63717,76,64340,0.99078369140625,-0.11102294921875,0.004638671875,-0.072998046875
16229,63686,75,64332,0.99053955078125,-0.1129150390625,0.00457763671875,-0.073486328125
16225,63658,74,64325,0.99029541015625,-0.1146240234375,0.0045166015625,-0.07391357421875
16221,63633,74,64320,0.99005126953125,-0.11614990234375,0.0045166015625,-0.07421875
16218,63611,74,64316,0.9898681640625,-0.11749267578125,0.0045166015625,-0.074462890625
16215,63593,75,64314,0.98968505859375,-0.11859130859375,0.00457763671875,-0.0745849609375
16213,63578,76,64313,0.98956298828125,-0.1195068359375,0.004638671875,-0.07464599609375
16211,63566,78,64313,0.98944091796875,-0.1202392578125,0.0047607421875,-0.07464599609375
16210,63559,80,64314,0.9893798828125,-0.12066650390625,0.0048828125,-0.0745849609375
16209,63555,83,64316,0.98931884765625,-0.12091064453125,0.00506591796875,-0.074462890625
16209,63554,86,64318,0.98931884765625,-0.1209716796875,0.0052490234375,-0.0743408203125
16209,63554,89,64321,0.98931884765625,-0.1209716796875,0.00543212890625,-0.07415771484375
16209,63555,93,64323,0.98931884765625,-0.12091064453125,0.00567626953125,-0.07403564453125
16209,63556,97,64325,0.98931884765625,-0.120849609375,0.00592041015625,-0.07391357421875
16209,63557,101,64326,0.98931884765625,-0.12078857421875,0.00616455078125,-0.0738525390625
16209,63558,106,64326,0.98931884765625,-0.1207275390625,0.0064697265625,-0.0738525390625
16208,63557,111,64325,0.9892578125,-0.12078857421875,0.00677490234375,-0.07391357421875
16207,63553,115,64324,0.98919677734375,-0.12103271484375,0.00701904296875,-0.073974609375
16206,63547,118,64324,0.9891357421875,-0.12139892578125,0.0072021484375,-0.073974609375
16205,63541,120,64325,0.98907470703125,-0.12176513671875,0.00732421875,-0.07391357421875
16204,63537,122,64328,0.989013671875,-0.12200927734375,0.0074462890625,-0.07373046875
16204,63536,123,64332,0.989013671875,-0.1220703125,0.00750732421875,-0.073486328125
16205,63540,124,64336,0.98907470703125,-0.121826171875,0.007568359375,-0.0732421875
16206,63550,126,64340,0.9891357421875,-0.1212158203125,0.0076904296875,-0.072998046875
16208,63568,128,64343,0.9892578125,-0.1201171875,0.0078125,-0.07281494140625
