,t,ax,ay,az,wx,wy,wz
0,3.0,-1.12,5.16,3.06,-0.88,0.36,-0.67
1,6.0,-1.19,5.14,3.1,-0.89,0.32,-0.72
2,9.0,-1.3,5.09,3.16,-0.91,0.3,-0.74
3,13.0,-1.47,5.02,3.24,-0.93,0.28,-0.75
4,16.0,-1.61,4.96,3.31,-0.97,0.26,-0.77
5,19.0,-1.75,4.84,3.39,-1.04,0.24,-0.8
6,22.0,-1.82,4.78,3.46,-1.1,0.22,-0.84
7,26.0,-1.89,4.72,3.58,-1.18,0.21,-0.89
8,29.0,-1.94,4.65,3.69,-1.27,0.2,-0.95
9,32.0,-1.96,4.49,3.81,-1.41,0.18,-1.04
10,35.0,-1.98,4.33,3.9,-1.53,0.16,-1.11
11,39.0,-1.95,4.22,3.92,-1.66,0.14,-1.19
12,42.0,-1.92,4.18,3.95,-1.79,0.11,-1.27
13,45.0,-1.89,4.18,3.97,-1.96,0.07,-1.37
14,48.0,-1.91,4.16,3.97,-2.07,0.04,-1.43
15,52.0,-1.89,4.14,3.97,-2.15,0.01,-1.48
16,55.0,-1.87,4.07,3.96,-2.19,-0.03,-1.52
17,58.0,-1.82,3.98,4.0,-2.2,-0.07,-1.55
18,61.0,-1.8,3.91,4.05,-2.18,-0.1,-1.54
19,65.0,-1.8,3.82,4.16,-2.13,-0.13,-1.52
20,68.0,-1.83,3.75,4.24,-2.06,-0.16,-1.48
21,71.0,-1.96,3.62,4.41,-1.94,-0.19,-1.41
22,74.0,-2.04,3.53,4.57,-1.85,-0.22,-1.36
23,78.0,-2.16,3.45,4.79,-1.77,-0.24,-1.31
24,81.0,-2.26,3.39,5.01,-1.7,-0.26,-1.26
25,84.0,-2.45,3.29,5.32,-1.63,-0.27,-1.2
26,87.0,-2.6,3.21,5.57,-1.6,-0.26,-1.16
27,91.0,-2.77,3.12,5.82,-1.58,-0.25,-1.13
28,94.0,-2.94,3.02,6.03,-1.58,-0.24,-1.1
29,97.0,-3.14,2.83,6.28,-1.61,-0.22,-1.06
30,101.0,-3.26,2.65,6.41,-1.65,-0.2,-1.04
31,104.0,-3.24,2.47,6.53,-1.7,-0.18,-1.01
32,107.0,-3.25,2.22,6.62,-1.79,-0.16,-0.99
33,110.0,-2.87,2.01,6.6,-1.85,-0.14,-0.98
34,114.0,-2.48,1.86,6.57,-1.93,-0.11,-0.98
35,117.0,-2.62,1.66,6.55,-1.98,-0.09,-0.98
36,120.0,-3.42,1.34,6.39,-1.96,-0.07,-0.98
37,123.0,-4.16,1.23,6.35,-1.91,-0.04,-0.96
38,127.0,-4.85,1.21,6.44,-1.83,-0.01,-0.93
39,130.0,-5.33,1.27,6.62,-1.75,-0.01,-0.89
40,133.0,-5.37,1.3,6.94,-1.7,-0.02,-0.83
41,136.0,-5.11,1.21,7.14,-1.7,-0.04,-0.78
42,140.0,-4.81,1.04,7.21,-1.72,-0.08,-0.74
43,143.0,-4.62,0.86,7.14,-1.72,-0.12,-0.69
44,146.0,-4.47,0.73,6.89,-1.69,-0.16,-0.63
45,150.0,-4.45,0.66,6.69,-1.63,-0.19,-0.58
46,153.0,-4.42,0.62,6.52,-1.54,-0.21,-0.53
47,156.0,-4.39,0.56,6.41,-1.45,-0.22,-0.47
48,159.0,-4.36,0.44,6.29,-1.31,-0.22,-0.39
49,163.0,-4.36,0.3,6.24,-1.2,-0.21,-0.33
50,166.0,-4.37,0.17,6.21,-1.08,-0.19,-0.27
51,169.0,-4.35,0.09,6.17,-0.96,-0.17,-0.22
52,172.0,-4.36,-0.02,6.15,-0.79,-0.14,-0.14
53,176.0,-4.34,-0.09,6.1,-0.66,-0.12,-0.08
54,179.0,-4.37,-0.16,6.08,-0.52,-0.1,-0.03
55,182.0,-4.37,-0.24,6.08,-0.34,-0.07,0.03
56,185.0,-4.39,-0.28,6.1,-0.21,-0.04,0.07
57,189.0,-4.4,-0.3,6.16,-0.11,-0.02,0.08
58,192.0,-4.41,-0.31,6.21,-0.05,-0.01,0.09
59,195.0,-4.48,-0.3,6.34,-0.0,0.01,0.07
60,198.0,-4.52,-0.27,6.5,0.0,0.02,0.05
61,202.0,-4.59,-0.25,6.68,-0.01,0.04,0.02
62,205.0,-4.6,-0.22,6.85,-0.03,0.05,-0.02
63,208.0,-4.7,-0.22,7.07,-0.1,0.05,-0.07
64,211.0,-4.99,-0.45,7.07,-0.19,0.01,-0.07
65,215.0,-5.31,-0.69,6.74,-0.26,-0.05,-0.04
66,218.0,-5.4,-0.73,6.35,-0.28,-0.07,-0.0
67,221.0,-5.25,-0.63,5.85,-0.21,-0.1,0.07
68,225.0,-5.08,-0.56,5.46,-0.08,-0.12,0.12
69,228.0,-4.83,-0.44,5.15,0.12,-0.11,0.14
70,231.0,-4.56,-0.25,5.11,0.37,-0.07,0.14
71,234.0,-4.14,-0.04,5.34,0.7,-0.03,0.11
72,238.0,-3.87,0.17,5.73,0.87,0.01,0.08
73,241.0,-3.67,0.31,6.22,0.94,0.03,0.05
74,244.0,-3.64,0.5,6.61,0.91,0.04,0.03
75,247.0,-4.31,1.21,6.45,0.62,0.09,0.07
76,250.0,-5.48,2.25,5.05,0.2,0.24,0.19
77,254.0,-6.19,2.77,4.22,-0.27,0.47,0.34
78,257.0,-6.56,3.45,2.78,-0.19,0.71,0.52
79,260.0,-6.68,4.2,1.37,0.08,1.06,0.75
80,263.0,-5.93,4.83,0.56,0.74,1.62,1.08
81,267.0,-4.33,3.78,2.0,1.79,1.92,1.3
82,270.0,-2.29,1.59,4.14,3.33,2.03,1.4
83,273.0,-0.69,-0.79,7.33,4.28,2.02,1.38
84,276.0,0.17,-2.42,10.79,4.67,1.73,1.19
85,279.0,-1.4,-2.62,13.87,3.9,1.22,0.91
86,283.0,-3.47,-1.45,14.47,2.56,0.79,0.69
87,286.0,-5.05,-0.23,13.72,1.01,0.37,0.51
88,289.0,-5.95,0.35,11.9,-0.31,0.01,0.32
89,292.0,-6.15,0.39,8.92,-1.41,-0.31,0.05
90,296.0,-5.74,0.36,6.68,-1.64,-0.42,-0.14
91,299.0,-5.17,0.51,4.88,-1.49,-0.39,-0.28
92,302.0,-4.7,0.76,3.71,-1.12,-0.25,-0.34
93,305.0,-4.44,0.91,3.13,-0.52,-0.01,-0.31
94,309.0,-4.44,0.66,3.24,-0.12,0.18,-0.23
95,312.0,-4.69,0.22,3.7,0.2,0.34,-0.15
96,315.0,-5.1,-0.26,4.26,0.46,0.48,-0.08
97,318.0,-5.89,-0.59,4.87,0.73,0.59,0.01
98,322.0,-6.6,-0.5,5.13,0.88,0.64,0.09
99,325.0,-7.24,-0.36,5.25,0.99,0.66,0.18
100,328.0,-7.46,-0.33,5.44,1.14,0.64,0.24
101,331.0,-7.34,-0.15,5.43,1.27,0.58,0.28
102,334.0,-7.58,0.11,5.29,1.38,0.47,0.31
103,338.0,-7.42,0.55,5.07,1.43,0.42,0.28
104,341.0,-7.05,0.94,5.07,1.42,0.38,0.24
105,344.0,-6.51,1.29,5.17,1.39,0.33,0.18
106,347.0,-4.97,1.88,5.4,1.29,0.26,0.05
107,351.0,-4.06,2.13,5.77,1.12,0.23,-0.03
108,354.0,-3.47,2.23,6.0,0.92,0.16,-0.09
109,357.0,-2.94,2.39,6.1,0.67,0.12,-0.13
110,360.0,-2.83,2.38,6.22,0.41,0.09,-0.14
111,363.0,-3.58,2.01,6.05,0.08,0.05,-0.12
112,367.0,-4.35,1.63,5.73,-0.09,0.04,-0.11
113,370.0,-4.9,1.42,5.42,-0.17,0.07,-0.1
114,373.0,-5.07,1.42,5.18,-0.16,0.1,-0.09
115,376.0,-5.0,1.54,5.05,-0.06,0.14,-0.09
116,380.0,-4.91,1.61,5.09,0.04,0.15,-0.08
117,383.0,-4.9,1.64,5.25,0.16,0.16,-0.08
118,386.0,-4.91,1.67,5.49,0.27,0.15,-0.07
119,389.0,-4.94,1.7,5.86,0.34,0.12,-0.08
120,393.0,-4.93,1.72,6.15,0.33,0.08,-0.08
121,396.0,-5.06,2.24,6.68,0.22,0.05,-0.09
122,399.0,-5.05,2.78,7.34,-0.21,0.01,-0.07
123,402.0,-4.94,2.1,7.02,-0.44,-0.08,-0.05
124,406.0,-4.9,1.46,6.25,-0.49,-0.11,-0.07
125,409.0,-4.67,1.47,6.17,-0.55,-0.08,-0.07
126,412.0,-4.51,1.35,6.23,-0.63,-0.06,-0.05
127,415.0,-4.42,1.35,6.08,-0.68,-0.06,-0.04
128,419.0,-4.31,1.62,5.66,-0.71,-0.08,-0.0
129,422.0,-4.18,1.72,5.53,-0.76,-0.09,0.04
130,425.0,-4.04,1.75,5.38,-0.78,-0.11,0.08
131,428.0,-3.93,1.74,5.27,-0.76,-0.12,0.13
132,432.0,-3.75,1.55,5.13,-0.67,-0.15,0.17
133,435.0,-3.67,1.54,5.11,-0.56,-0.17,0.2
134,438.0,-3.55,1.5,5.17,-0.48,-0.21,0.22
135,441.0,-3.58,1.39,5.13,-0.39,-0.24,0.25
136,445.0,-3.94,1.51,5.01,-0.24,-0.29,0.26
137,448.0,-4.58,1.72,4.75,-0.16,-0.29,0.28
138,451.0,-4.87,1.56,4.55,-0.15,-0.25,0.29
139,454.0,-4.7,1.47,4.13,-0.07,-0.21,0.29
140,458.0,-4.62,0.97,3.87,-0.04,-0.11,0.29
141,461.0,-4.67,0.54,3.9,-0.14,-0.0,0.28
142,464.0,-4.71,0.17,4.14,-0.23,0.09,0.25
143,467.0,-4.69,0.17,4.3,-0.24,0.14,0.2
144,471.0,-4.94,0.2,4.45,-0.25,0.19,0.14
145,474.0,-4.69,0.3,4.3,-0.2,0.21,0.1
146,477.0,-5.33,0.37,4.43,-0.16,0.24,0.05
147,480.0,-6.48,0.47,4.65,-0.41,0.27,-0.09
